hs6,hs6_name
000000,re_import_export
010121,Pure-bred_breeding_animals
010129,Other
010229,Other
010290,Other
010392,Weighing_50_kg_or_more
010612,Whales__dolphins_and_porpoises_(mammals_of_the_order_Cetacea);_manatees_and_dugongs_(mammals_of_the_order_Sirenia);seals_sea_lions_and_walruses(mammals_of_the_suborder_Pinnipedia)
010619,Other
010620,Reptiles_(including_snakes_and_turtles)
010690,Other
020130,Boneless
020230,Boneless
020311,Carcasses_and_half-carcasses
020312,Hams__shoulders_and_cuts_thereof__with_bone_in
020319,Other
020321,Carcasses_and_half-carcasses
020322,Hams__shoulders_and_cuts_thereof__with_bone_in
020329,Other
020610,Of_bovine_animals__fresh_or_chilled
020629,Other
020630,Of_swine__fresh_or_chilled
020641,Livers
020649,Other
020713,Cuts_and_offal__fresh_or_chilled
020714,Cuts_and_offal__frozen
020727,Cuts_and_offal__frozen
020745,Other__frozen
020755,Other__frozen
020760,Of_guinea_fowls_:
020840,Of_whales__dolphins_and_porpoises_(mammals_of_the_order_Cetacea);_of_manatees_and_dugongs_(mammals_of_the_order_Sirenia);_of_seals__sea_lions_and_walruses(mammals_of_the_suborder_Pinnipedia)
020890,Other
021011,Hams__shoulders_and_cuts_thereof__with_bone_in
021012,Bellies_(streaky)_and_cuts_thereof
021019,Other
021099,Other
030111,Freshwater
030191,Trout_(Salmo_trutta__Oncorhynchus_mykiss__Oncorhynchus_clarki__Oncorhynchus_aguabonita__Oncorhynchus_gilae__Oncorhynchus_apache_and_Oncorhynchus_chrysogaster)
030192,Eels_(Anguilla_spp.)
030193,Carp(Cyprinus_carpio__Carassius_carassius__Ctenopharyngodon_idellus__Hypophthalmichthys_spp.__Cirrhinus_spp.__Mylopharyngodon_piceus)
030194,Atlantic_and_Pacific_bluefin_tunas_(Thunnus_thynnus__Thunnus_orientalis)
030195,Southern_bluefin_tunas_(Thunnus_maccoyii)
030199,Other
030213,Pacific_salmon_(Oncorhynchus_nerka__Oncorhynchus_gorbuscha__Oncorhynchus_keta__Oncorhynchus_tschawytscha__Oncorhynchus_kisutch__Oncorhynchus_masou_and_Oncorhynchus_rhodurus)
030235,Atlantic_and_Pacific_bluefin_tunas_(Thunnus_thynnus__Thunnus_orientalis)
030243,Sardines_(Sardina_pilchardus__Sardinops_spp.)__sardinella_(Sardinella_spp.)__brisling_or_sprats_(Sprattus_sprattus)
030254,Hake_(Merluccius_spp.__Urophycis_spp.)
030259,Other
030289,Other
030290,Livers_and_roes
030312,Other_Pacific_salmon_(Oncorhynchus_gorbuscha__Oncorhynchus_keta__Oncorhynchus_tschawytscha__Oncorhynchus_kisutch__Oncorhynchus_masou_and_Oncorhynchus_rhodurus)
030345,Atlantic_and_Pacific_bluefin_tunas_(Thunnus_thynnus__Thunnus_orientalis)
030353,Sardines_(Sardina_pilchardus__Sardinops_spp.)__sardinella_(Sardinella_spp.)__brisling_or_sprats_(Sprattus_sprattus)
030366,Hake_(Merluccius_spp.__Urophycis_spp.)
030369,Other
030389,Other
030390,Livers_and_roes
030444,Fish_of_the_families_Bregmacerotidae__Euclichthyidae__Gadidae__Macrouridae__Melanonidae__Merlucciidae__Moridae_and_Muraenolepididae
030449,Other
030453,Fish_of_the_families_Bregmacerotidae__Euclichthyidae__Gadidae__Macrouridae__Melanonidae__Merlucciidae__Moridae_and_Muraenolepididae
030459,Other
030474,Hake_(Merluccius_spp.__Urophycis_spp.)
030479,Other
030487,Tunas_(of_the_genus_Thunnus)__skipjack_or_stripe-bellied_bonito_(Euthynnus_(Katsuwonus)_pelamis)
030489,Other
030494,Alaska_Pollack_(Theragra_chalcogramma)
030495,Fish_of_the_families_Bregmacerotidae__Euclichthyidae__Gadidae__Macrouridae__Melanonidae__Merlucciidae__Moridae_and_Muraenolepididae__other_than_Alaska_Pollack_(Theragra_chalcogramma)
030499,Other
030520,Livers_and_roes_of_fish__dried__smoked__salted_or_in_brine
030532,Fish_of_the_families_Bregmacerotidae__Euclichthyidae__Gadidae__Macrouridae__Melanonidae__Merlucciidae__Moridae_and_Muraenolepididae
030539,Other
030549,Other
030559,Other
030569,Other
030571,Shark_fins
030572,Fish_heads__tails_and_maws
030579,Other
030611,Rock_lobster_and_other_sea_crawfish_(Palinurus_spp.__Panulirus_spp.__Jasus_spp.)
030612,Lobsters_(Homarus_spp.)
030614,Crabs
030615,Norway_lobsters_(Nephrops_norvegicus)
030616,Cold-water_shrimps_and_prawns_(Pandalus_spp.__Crangon_crangon)
030617,Other_shrimps_and_prawns
030619,Other__including_flours__meals_and_pellets_of_crustaceans__fit_for_human_consumption
030621,Rock_lobster_and_other_sea_crawfish_(Palinurus_spp.__Panulirus_spp.__Jasus_spp.)
030622,Lobsters_(Homarus_spp.)
030624,Crabs
030625,Norway_lobsters_(Nephrops_norvegicus)
030626,Cold-water_shrimps_and_prawns_(Pandalus_spp.__Crangon_crangon)
030627,Other_shrimps_and_prawns
030629,Other__including_flours__meals_and_pellets_of_crustaceans__fit_for_human_consumption
030719,Other
030729,Other
030739,Other
030741,Live__fresh_or_chilled
030749,Other
030759,Other
030760,Snails__other_than_sea_snails
030771,Live__fresh_or_chilled
030779,Other
030789,Other
030791,Live__fresh_or_chilled
030799,Other
030811,Live__fresh_or_chilled
030819,Other
030821,Live__fresh_or_chilled
030829,Other
030830,Jellyfish_(Rhopilema_spp.)
030890,Other
040110,Of_a_fat_content__by_weight__not_exceeding_1%
040120,Of_a_fat_content__by_weight__exceeding_1%_but_not_exceeding_6%
040140,Of_a_fat_content__by_weight__exceeding_6%_but_not_exceeding_10%
040150,Of_a_fat_content__by_weight__exceeding_10%
040210,In_powder__granules_or_other_solid_forms__of_a_fat_content__by_weight__not_exceeding_1.5%
040221,Not_containing_added_sugar_or_other_sweetening_matter
040229,Other
040291,Not_containing_added_sugar_or_other_sweetening_matter
040299,Other
040310,yogurt
040390,Other
040410,Whey_and_modified_whey__whether_or_not_concentrated_or_containing_added_sugar_or_other_sweetening_matter
040490,Other
040510,Butter
040520,Dairy_spreads
040590,Other
040610,Fresh_(unripened_or_uncured)_cheese__including_whey_cheese__and_curd
040620,Grated_or_powdered_cheese__of_all_kinds
040640,Blue-veined_cheese_and_other_cheese_containing_veins_produced_by_Penicillium_roqueforti
040690,Other_cheese
040790,Other
041000,Edible_products_of_animal_origin__not_elsewhere_specified_or_included
050400,Guts__bladders_and_stomachs_of_animals_(other_than_fish)__whole_and_pieces_thereof__fresh__chilled__frozen__salted__in_brine__dried_or_smoked
050690,Other
050790,Other
050800,Coral_and_similar_materials__unworked_or_simply_prepared_but_not_otherwise_worked;_shells_of_molluscs__crustaceans_or_echinoderms_and_cuttle-bone__unworked_or_simply_prepared_but_not_cut_to_shape__powder_and_waste_thereof
051000,Ambergris__castoreum__civet_and_musk;_cantharides;_bile__whether_or_not_dried;_glands_and_other_animal_products_used_in_the_preparation_of_pharmaceutical_products__fresh__chilled__frozen_or_otherwise_provisionally_preserved
051191,Products_of_fish_or_crustaceans__molluscs_or_other_aquatic_invertebrates;_dead_animals_of_Chapter_3
051199,Other
060110,Bulbs__tubers__tuberous_roots__corms__crowns_and_rhizomes__dormant
060290,Other
070310,Onions_and_shallots
070390,Leeks_and_other_alliaceous_vegetables
070490,Other
070690,Other
070959,Other
070960,Fruits_of_the_genus_Capsicum_or_of_the_genus_Pimenta
070999,Other
071029,Other
071080,Other_vegetables
071090,Mixtures_of_vegetables
071190,Other_vegetables;_mixtures_of_vegetables
071239,Other
071290,Other_vegetables;_mixtures_of_vegetables
071310,Peas_(Pisum_sativum)
071320,Chickpeas_(garbanzos)
071332,Small_red_(Adzuki)_beans_(Phaseolus_or_Vigna_angularis)
071333,Kidney_beans__including_white_pea_beans_(Phaseolus_vulgaris)
071334,Bambara_beans_(Vigna_subterranea_or_Voandzeia_subterranea)
071335,Cow_peas_(Vigna_unguiculata)
071339,Other
071340,Lentils
071350,Broad_beans_(Vicia_faba_var._major)_and_horse_beans_(Vicia_faba_var._equina__Vicia_faba_var._minor)
071360,Pigeon_peas_(Cajanus_cajan)
071390,Other
071410,Manioc_(cassava)
071420,Sweet_potatoes
071430,Yams_(Dioscorea_spp.)
071440,Taro_(Colocasia_spp.)
071450,Yautia_(Xanthosoma_spp.)
071490,Other
080211,In_sｈell
080212,Shelled
080290,Other
080310,Plantains
080390,Other
080420,Figs
080430,Pineapples
080440,Avocados
080450,Guavas__mangoes_and_mangosteens
080510,Oranges
080540,Grapefruit__including_pomelos
080550,Lemons_(Citrus_limon__Citrus_limonum)_and_limes_(Citrus_aurantifolia__Citrus_latifolia)
080590,Other
080610,Fresh
081090,Other
081110,Strawberries
081120,Raspberries__blackberries__mulberries__loganberries__black__white_or_red_currants_and_gooseberries
081190,Other
081290,Other
081340,Other_fruit
081350,Mixtures_of_nuts_or_dried_fruits_of_this_Chapter
090190,Other
090220,Other_green_tea_(not_fermented)
090230,Black_tea_(fermented)_and_partly_fermented_tea__in_immediate_packings_of_a_content_not_exceeding_3kg
090240,Other_black_tea_(fermented)_and_other_partly_fermented_tea
090411,Neither_crushed_nor_ground
090412,Crushed_or_ground
090421,Dried__neither_crushed_nor_ground
090422,Crushed_or_ground
090710,Neither_crushed_nor_ground
090720,Crushed_or_ground
090811,Neither_crushed_nor_ground
090812,Crushed_or_ground
090821,Neither_crushed_nor_ground
090822,Crushed_or_ground
090831,Neither_crushed_nor_ground
090832,Crushed_or_ground
090921,Neither_crushed_nor_ground
090922,Crushed_or_ground
090931,Neither_crushed_nor_ground
090932,Crushed_or_ground
090961,Neither_crushed_nor_ground
090962,Crushed_or_ground
091011,Neither_crushed_nor_ground
091012,Crushed_or_ground
091020,Saffron
091030,Turmeric_(curcuma)
091091,Mixtures_referred_to_in_Note_1_(b)_to_this_Chapter
091099,Other
100111,Seed
100119,Other
100191,Seed
100199,Other
100210,Seed
100290,Other
100310,Seed
100390,Other
100410,Seed
100510,Seed
100590,Other
100610,Rice_in_the_husk_(paddy_or_rough)
100620,Husked_(brown_)_rice
100630,Semi-milled_or_wholly_milled_rice__whether_or_not_polished_or_glazed
100640,Broken_rice
100710,Seed
100790,Other
100810,Buckwheat
100840,Fonio_(Digitaria_spp.)
100850,Quinoa_(Chenopodium_quinoa)
100860,Triticale
100890,Other_cereals
110100,Wheat_or_meslin_flour
110290,Other
110311,Of_wheat
110319,Of_other_cereals
110320,Pellets
110419,Of_other_cereals
110423,Of_maize_(corn)
110429,Of_other_cereals
110620,Of_sago_or_of_roots_or_tubers_of_heading_07.14
110630,Of_the_products_of_Chapter_8
110710,Not_roasted
110720,Roasted
110811,Wheat_starch
110812,Maize_(corn)_starch
110813,Potato_starch
110814,Manioc_(cassava)_starch
110819,Other_starches
110820,Inulin
120190,Other
120230,Seed
120241,In_shell
120242,Shelled__whether_or_not_broken
120799,Other
120929,Other
120991,Vegetable_seeds
121020,Hop_cones__ground__powdered_or_in_the_form_of_pellets;_lupulin
121190,Other
121221,Fit_for_human_consumption
121229,Other
121299,Other
121490,Other
130190,Other
130219,Other
130232,Mucilages_and_thickeners__whether_or_not_modified__derived_from_locust_beans__locust_bean_seeds_or_guar_seeds
140190,Other
140490,Other
150110,Lard
150120,Other_pig_fat
150210,Tallow
150290,Other
150430,Fats_and_oils_and_their_fractions__of_marine_mammals
150500,Wool_grease_and_fatty_substances_derived_therefrom_(including_lanolin)
150710,Crude_oil__whether_or_not_degummed
150810,Crude_oil
151190,Other
151211,Crude_oil
151219,Other
151221,Crude_oil__whether_or_not_gossypol_has_been_removed
151229,Other
151321,Crude_oil
151329,Other
151411,Crude_oil
151491,Crude_oil
151521,Crude_oil
151550,Sesame_oil_and_its_fractions
151590,Other
151620,Vegetable_fats_and_oils_and_their_fractions
151790,Other
152110,Vegetable_waxes
152190,Other
152200,Degras;_residues_resulting_from_the_treatment_of_fatty_substances_or_animal_or_vegetable_waxes
160220,Of_liver_of_any_animal
160231,Of_turkeys
160232,Of_fowls_of_the_species_Gallus_domesticus
160239,Other
160241,Hams_and_cuts_thereof
160242,Shoulders_and_cuts_thereof
160249,Other__including_mixtures
160250,Of_bovine_animals
160290,Other__including_preparations_of_blood_of_any_animal
160300,Extracts_and_juices_of_meat__fish_or_crustaceans__molluscs_or_other_aquatic_invertebrates
160411,Salmon
160413,Sardines__sardinella_and_brisling_or_sprats
160414,Tunas__skipjack_and_bonito_(Sarda_spp.)
160419,Other
160420,Other_prepared_or_preserved_fish
160432,Caviar_substitutes
160510,Crab
160521,Not_in_airtight_container
160529,Other
160530,Lobster
160540,Other_crustaceans
160551,Oysters
160553,Mussels
160554,Cuttle_fish_and_squid
160555,Octopus
160556,Clams__cockles_and_arkshells
160558,Snails__other_than_sea_snails
160559,Other
160569,Other
170112,Beet_sugar
170114,Other_cane_sugar
170199,Other
170220,Maple_sugar_and_maple_syrup
170230,Glucose_and_glucose_syrup__not_containing_fructose_or_containing_in_the_dry_state_less_than_20%_by_weight_of_fructose
170240,Glucose_and_glucose_syrup__containing_in_the_dry_state_at_least_20%_but_less_than_50%_by_weight_of_fructose__excluding_invert_sugar
170260,Other_fructose_and_fructose_syrup__containing_in_the_dry_state_more_than_50%_by_weight_of_fructose__excluding_invert_sugar
170290,Other__including_invert_sugar_and_other_sugar_and_sugar_syrup_blends_containing_in_the_dry_state_50%_by_weight_of_fructose
170310,Cane_molasses
170390,Other
170490,Other
180610,Cocoa_powder__containing_added_sugar_or_other_sweetening_matter
180620,Other_preparations_in_blocks__slabs_or_bars_weighing_more_than_2kg_or_in_liquid__paste__powder__granular_or_other_bulk_form_in_containers_or_immediate_packings__of_a_content_exceeding_2kg
180632,Not_filled
180690,Other
190110,Preparations_for_infant_use__put_up_for_retail_sale
190120,Mixes_and_doughs_for_the_preparation_of_bakers'_wares_of_heading_19.05
190190,Other
190219,Other
190220,Stuffed_pasta__whether_or_not_cooked_or_otherwise_prepared
190230,Other_pasta
190410,Prepared_foods_obtained_by_the_swelling_or_roasting_of_cereals_or_cereal_products
190420,Prepared_foods_obtained_from_unroasted_cereal_flakes_or_from_mixtures_of_unroasted_cereal_flakes_and_roasted_cereal_flakes_or_swelled_cereals
190430,Bulgur_wheat
190490,Other
